openml_id,modelo,total_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,best_params,best_score_cv
50,xgboost,2.929201602935791,0.9988297872340425,0.9861111111111112,0.06515197140418803,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'max_depth': 5, 'n_estimators': 500}",0.9850723361093316
50,catboost,57.39902591705322,1.0,0.9965277777777778,0.03379623706611142,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': np.float64(4.82240320006911), 'learning_rate': np.float64(0.06217616751968465)}",0.979099935938501
54,realmlp,2.7009854316711426,0.9372565078484549,0.8149606299212598,0.5385533727591826,,
54,lightgbm,11.364143371582031,0.9397862220578567,0.7795275590551181,0.5712453090429667,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.11265466963346032), 'n_estimators': 100, 'num_leaves': 31}",0.7449195850211078
54,xgboost,9.12298321723938,0.9389684007232084,0.7834645669291339,0.5535753685081475,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.19020103466213772), 'max_depth': 3, 'n_estimators': 500}",0.7500042728469124
54,catboost,31.813761949539185,0.9417818252794214,0.7952755905511811,0.48024050588875145,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': np.float64(1.1615865989246452), 'learning_rate': np.float64(0.17160445029754812)}",0.72634979233964
188,realmlp,4.519560813903809,0.8296051923818851,0.579185520361991,1.0712658887831608,,
188,lightgbm,25.636651039123535,0.8944100375415479,0.6606334841628959,1.8904162425383781,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.06217616751968465), 'n_estimators': 500, 'num_leaves': 40}",0.6544267645858833
188,xgboost,11.601035356521606,0.9025905801133668,0.6742081447963801,1.011852198341394,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.06252287916406217), 'max_depth': 5, 'n_estimators': 500}",0.6641393535518383
188,catboost,122.34597277641296,0.9108799774082978,0.7058823529411765,0.7578094378582115,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': np.float64(4.82240320006911), 'learning_rate': np.float64(0.06217616751968465)}",0.6466521601160524
307,realmlp,12.736093759536743,0.5474685122833273,0.1447811447811448,2.4367408271625357,,
307,lightgbm,56.356813192367554,0.993490460157127,0.9057239057239057,0.35925117682108265,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.06252287916406217), 'n_estimators': 200, 'num_leaves': 50}",0.8961038961038961
307,xgboost,22.281473875045776,0.9931662302032673,0.8821548821548821,0.3479230016118965,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'max_depth': 5, 'n_estimators': 500}",0.8571428571428571
307,catboost,310.1986496448517,0.996869933906971,0.9225589225589226,0.3961938656522779,"{'depth': 8, 'iterations': 100, 'l2_leaf_reg': np.float64(1.5255793090045733), 'learning_rate': np.float64(0.10337163339642635)}",0.9148629148629149
458,realmlp,2.245598316192627,0.9999639873235379,0.9960474308300395,0.1011295617828256,,
458,lightgbm,14.939247369766235,1.0,0.9920948616600791,0.010166179173205,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.10872422452394664), 'n_estimators': 500, 'num_leaves': 40}",0.9897959183673469
458,xgboost,7.755071401596069,1.0,1.0,0.024197553101812114,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'max_depth': 5, 'n_estimators': 500}",0.9829931972789115
458,catboost,33.101603984832764,0.9998790732232482,0.9881422924901185,0.06618173929320653,"{'depth': 8, 'iterations': 100, 'l2_leaf_reg': np.float64(1.5255793090045733), 'learning_rate': np.float64(0.10337163339642635)}",0.9812925170068029
469,realmlp,2.192755937576294,0.5169968041734914,0.22083333333333333,2.6519079092737408,,
469,lightgbm,6.858888626098633,0.5480342304465667,0.2,1.8476148489023112,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'n_estimators': 100, 'num_leaves': 20}",0.19749103942652332
469,xgboost,14.177419662475586,0.5802518745545434,0.19583333333333333,1.759630755098773,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.010405384007798954), 'max_depth': 3, 'n_estimators': 200}",0.20462074978204012
469,catboost,69.84247326850891,0.5423324479049757,0.20833333333333334,1.7847216097592749,"{'depth': 4, 'iterations': 500, 'l2_leaf_reg': np.float64(2.7914686374528714), 'learning_rate': np.float64(0.013491814589575175)}",0.24228421970357453
1049,realmlp,4.260689973831177,0.8889487870619948,0.906392694063927,0.2629024918353446,,
1049,lightgbm,12.055871486663818,0.941435922567998,0.9155251141552512,0.20635634342379133,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.048164145309070844), 'n_estimators': 100, 'num_leaves': 20}",0.9137254901960784
1049,xgboost,4.316372394561768,0.9412888997794658,0.9018264840182648,0.24688313079201146,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.06252287916406217), 'max_depth': 5, 'n_estimators': 500}",0.9117647058823529
1049,catboost,24.570919513702393,0.9392305807400148,0.9041095890410958,0.20075205368717022,"{'depth': 6, 'iterations': 200, 'l2_leaf_reg': np.float64(1.5199348301309807), 'learning_rate': np.float64(0.017322667470546258)}",0.9137254901960784
1050,realmlp,5.182171106338501,0.7168448139350753,0.8869936034115139,0.33857954485104463,,
1050,lightgbm,9.157628774642944,0.8042854315122724,0.8763326226012793,0.5172722577154993,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.06252287916406217), 'n_estimators': 200, 'num_leaves': 50}",0.9012895780019067
1050,xgboost,4.300251245498657,0.7941904196357878,0.8891257995735607,0.42615132237771886,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.07766184280392888), 'max_depth': 7, 'n_estimators': 500}",0.8994605850770233
1050,catboost,25.366491556167603,0.813168052256532,0.8912579957356077,0.3216558476047585,"{'depth': 8, 'iterations': 200, 'l2_leaf_reg': np.float64(1.2319878776395283), 'learning_rate': np.float64(0.06375859628711789)}",0.9031210798334085
1063,realmlp,1.5491242408752441,0.6408750000000001,0.8343949044585988,0.5896912092353221,,
1063,lightgbm,16.747504949569702,0.7156249999999998,0.7961783439490446,0.7383403300611391,"{'colsample_bytree': 0.7, 'learning_rate': np.float64(0.05977505142360254), 'n_estimators': 200, 'num_leaves': 40}",0.8658040915865058
1063,xgboost,3.1288058757781982,0.74925,0.8089171974522293,0.44041823696705446,"{'colsample_bytree': 0.8, 'learning_rate': np.float64(0.011841130198891353), 'max_depth': 5, 'n_estimators': 200}",0.8493654879645938
1063,catboost,12.585800647735596,0.7668749999999999,0.821656050955414,0.4887908548100497,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': np.float64(8.115595675970502), 'learning_rate': np.float64(0.02171103454376615)}",0.8630492706498668
1068,realmlp,4.233530044555664,0.8251753155680224,0.9159159159159159,0.23730246851707032,,
1068,lightgbm,9.796657800674438,0.8695652173913043,0.93993993993994,0.18105160434467787,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.011900590783184251), 'n_estimators': 100, 'num_leaves': 50}",0.9304171280915466
1068,xgboost,3.3341455459594727,0.8797335203366059,0.9429429429429429,0.17831770855053936,"{'colsample_bytree': 0.9, 'learning_rate': np.float64(0.010405384007798954), 'max_depth': 3, 'n_estimators': 200}",0.9304171280915466
