openml_id,modelo,n_train,n_test,n_classes,treino_time_sec,infer_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,cv_accuracy_mean,cv_accuracy_std,best_params,best_score_cv
31,xgboost,700,300,2,0.28035783767700195,0.004010438919067383,0.7535449735449735,0.7366666666666667,0.5229880442412611,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7585622928970569
31,catboost,700,300,2,0.9844715595245361,0.12097907066345215,0.7566666666666667,0.74,0.5366092931208445,,,"{'iterations': 200, 'learning_rate': 0.1}",0.7357274739248988
37,realmlp,537,231,2,2.615281105041504,0.0009996891021728516,0.6980246913580247,0.6883116883116883,0.7660364021513842,0.6908752327746742,0.026335448088884425,,
37,lightgbm,537,231,2,0.04154539108276367,0.0025119781494140625,0.8502880658436214,0.7619047619047619,0.4640207768892805,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7690875232774674
37,xgboost,537,231,2,0.04858732223510742,0.0009992122650146484,0.8291358024691358,0.7402597402597403,0.5081210612463871,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.7299813780260708
37,catboost,537,231,2,0.29645299911499023,0.0015063285827636719,0.8362962962962963,0.7489177489177489,0.47864582818357077,,,"{'iterations': 200, 'learning_rate': 0.01}",0.7765363128491619
50,realmlp,670,288,2,2.649045467376709,0.002797842025756836,0.9996808510638298,0.9826388888888888,0.0894914073367685,0.9835708947256032,0.00561074883069496,,
50,lightgbm,670,288,2,0.04596710205078125,0.0035126209259033203,0.9996808510638298,0.9930555555555556,0.029316821891634662,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9895432948964338
50,xgboost,670,288,2,0.03755664825439453,0.0019996166229248047,0.9938297872340425,0.9722222222222222,0.1000166273735656,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9835775677984198
50,catboost,670,288,2,0.34137845039367676,0.005517721176147461,0.9999468085106383,0.9861111111111112,0.04180956582862714,,,"{'iterations': 200, 'learning_rate': 0.1}",0.9925395045910741
54,realmlp,592,254,4,2.4187099933624268,0.0010004043579101562,0.9480158766847468,0.84251968503937,0.47834652841532194,0.8276931754089114,0.011102661976892003,,
54,lightgbm,592,254,4,0.11426019668579102,0.004591464996337891,0.9375590945512821,0.7795275590551181,0.5745047836613406,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7398519885829531
54,xgboost,592,254,4,0.25568151473999023,0.0029993057250976562,0.9389109498274162,0.7637795275590551,0.5113725662508262,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7331179818489463
54,catboost,592,254,4,0.454129695892334,0.002001523971557617,0.9363794378698226,0.7755905511811023,0.49540522370952933,,,"{'iterations': 200, 'learning_rate': 0.1}",0.72634979233964
188,realmlp,515,221,5,4.657567024230957,0.0035648345947265625,0.8282070757656694,0.583710407239819,1.0874410831921901,0.5339770615168412,0.028511285248874335,,
188,lightgbm,515,221,5,0.20824718475341797,0.009515762329101562,0.8625415015877256,0.6380090497737556,0.9643755596382503,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.569042114329752
188,xgboost,515,221,5,1.0844852924346924,0.009023427963256836,0.8633058727297008,0.6334841628959276,1.0258583569755153,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5728954168366652
307,realmlp,693,297,11,13.009367227554321,0.012354373931884766,0.5519329093403167,0.15151515151515152,2.445707271041156,0.10822510822510822,0.017673086167266795,,
307,lightgbm,693,297,11,0.33742737770080566,0.025476694107055664,0.3159870308018457,0.006734006734006734,2.634154486022032,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.03896103896103897
307,xgboost,693,297,11,5.309419393539429,0.02012467384338379,0.31613667539593465,0.006734006734006734,2.627479686052452,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.04040404040404041
307,catboost,693,297,11,5.072370767593384,0.8984525203704834,0.3305274971941638,0.013468013468013467,2.401035594124959,,,"{'iterations': 100, 'learning_rate': 0.01}",0.06349206349206349
458,realmlp,588,253,4,4.303441524505615,0.002511739730834961,0.9999541312226113,0.9920948616600791,0.10750142867533413,0.9948979591836734,0.004165798882284321,,
458,lightgbm,588,253,4,0.12658452987670898,0.005360126495361328,0.9999535626014041,0.9920948616600791,0.021491380579729515,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9897959183673469
458,xgboost,588,253,4,0.1277329921722412,0.0019981861114501953,0.9999338503995512,0.9841897233201581,0.04104445119058471,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9761904761904763
458,catboost,588,253,4,0.4792907238006592,0.003341197967529297,0.9998832431121017,0.9881422924901185,0.04674422868986338,,,"{'iterations': 200, 'learning_rate': 0.1}",0.9795918367346937
469,realmlp,557,240,6,2.5849356651306152,0.0010058879852294922,0.5141729148215879,0.17916666666666667,2.65326031919473,0.17598566308243732,0.02289983203578966,,
469,lightgbm,557,240,6,0.21011018753051758,0.007512331008911133,0.556710041460444,0.20416666666666666,1.8392765122315775,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.1884820304175143
469,xgboost,557,240,6,0.2173769474029541,0.003509521484375,0.5598152429802112,0.20416666666666666,1.7844267551198625,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.2010365203913591
469,catboost,557,240,6,0.18416666984558105,0.003551959991455078,0.564145693185732,0.22083333333333333,1.7694125089905868,,,"{'iterations': 200, 'learning_rate': 0.01}",0.17770996803254868
1049,realmlp,1020,438,2,3.9751086235046387,0.0030014514923095703,0.9095319774565058,0.8926940639269406,0.2616017990224442,0.9098039215686274,0.011348859708617827,,
1049,lightgbm,1020,438,2,0.11726093292236328,0.0040111541748046875,0.9412398921832884,0.906392694063927,0.42223691659844964,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9058823529411765
1049,xgboost,1020,438,2,0.0866854190826416,0.0025031566619873047,0.945650575839255,0.9018264840182648,0.20798062118287425,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9156862745098039
1049,catboost,1020,438,2,0.2355482578277588,0.0022726058959960938,0.9405537858368047,0.9018264840182648,0.19574116856014992,,,"{'iterations': 100, 'learning_rate': 0.1}",0.9068627450980392
1050,realmlp,1094,469,2,6.072904348373413,0.0030155181884765625,0.7473772763262074,0.8869936034115139,0.3339723905688235,0.8793516985297808,0.00792927542973716,,
1050,lightgbm,1094,469,2,0.05778765678405762,0.003087282180786133,0.7944873317498021,0.8805970149253731,0.4575594422349723,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8985448341612724
1050,xgboost,1094,469,2,0.08921933174133301,0.0015044212341308594,0.8121783452098179,0.8912579957356077,0.3096382349800219,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.90311857092679
1050,catboost,1094,469,2,0.2283616065979004,0.002540111541748047,0.8082195170229612,0.9019189765458422,0.28083309003689516,,,"{'iterations': 100, 'learning_rate': 0.1}",0.9021978021978022
1063,realmlp,365,157,2,1.4247524738311768,0.0012118816375732422,0.622625,0.8343949044585988,0.5604715235724995,0.8274172424694034,0.011286139341189936,,
1063,lightgbm,365,157,2,0.02873682975769043,0.003000974655151367,0.7171249999999999,0.802547770700637,0.6943003933933494,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8521428894007136
1063,xgboost,365,157,2,0.05611228942871094,0.0020074844360351562,0.759125,0.8471337579617835,0.420910933061729,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.8493654879645938
1063,catboost,365,157,2,0.3213310241699219,0.0012180805206298828,0.7789999999999999,0.821656050955414,0.433776636179084,,,"{'iterations': 200, 'learning_rate': 0.01}",0.8575622092760692
1068,realmlp,776,333,2,4.0573389530181885,0.001999378204345703,0.8220897615708276,0.9219219219219219,0.24800955702744615,0.9123691798110403,0.004848800031569256,,
1068,lightgbm,776,333,2,0.04055356979370117,0.003208160400390625,0.8719495091164096,0.9309309309309309,0.18642059827556104,,,"{'learning_rate': 0.01, 'n_estimators': 100}",0.929125138427464
1068,xgboost,776,333,2,0.12323594093322754,0.0030014514923095703,0.8669705469845722,0.948948948948949,0.1752172538926771,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.9329911306655493
1068,catboost,776,333,2,0.3733408451080322,0.001005411148071289,0.8658485273492287,0.9369369369369369,0.20232686054368754,,,"{'iterations': 200, 'learning_rate': 0.01}",0.9304171280915466
1462,realmlp,960,412,2,4.437536716461182,0.0025093555450439453,1.0,1.0,0.05125420907166851,1.0,0.0,,
1462,lightgbm,960,412,2,0.045246124267578125,0.004012346267700195,0.9999761376381033,0.9975728155339806,0.012672012821465453,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9874999999999999
1462,xgboost,960,412,2,0.04308319091796875,0.0020093917846679688,0.9999045505524137,0.9878640776699029,0.025892613697116696,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9885416666666668
1462,catboost,960,412,2,0.29570651054382324,0.002515077590942383,0.9999284129143103,0.9975728155339806,0.012644922647485004,,,"{'iterations': 200, 'learning_rate': 0.1}",0.9927083333333334
1464,realmlp,523,225,2,2.681669235229492,0.0019991397857666016,0.6814489928525016,0.7155555555555555,0.5959489345836396,0.753344280240832,0.004739492646968427,,
